model,run_depth,precision_k,recall_k,ndcg_k,map_depth,map,precision_at_10,recall_at_10,ndcg_at_10,num_queries,failed_queries,avg_query_time_seconds,total_query_time_seconds,wall_time_seconds,run_file,per_query_file
tfidf,10,10,10,10,10,0.06859951534428965,0.4,0.08182709076272311,0.35489687727126484,49,0,0.3088857364654541,15.444286823272705,15.63979983329773,reports\evaluation\final_top10_demo\runs\tfidf.jsonl,reports\evaluation\final_top10_demo\per_query\tfidf_per_query.csv
bm25,10,10,10,10,10,0.06980799814975215,0.4061224489795918,0.08171525212125003,0.35782435007000946,49,0,0.19937352180480958,9.968676090240479,10.025076389312744,reports\evaluation\final_top10_demo\runs\bm25.jsonl,reports\evaluation\final_top10_demo\per_query\bm25_per_query.csv
word2vec,10,10,10,10,10,0.0025619028183749416,0.04081632653061224,0.00932962635258601,0.032651824827294444,49,0,0.2906578254699707,14.532891273498535,14.616612195968628,reports\evaluation\final_top10_demo\runs\word2vec.jsonl,reports\evaluation\final_top10_demo\per_query\word2vec_per_query.csv
bert,10,10,10,10,10,0.02607727629143546,0.236734693877551,0.04671251049506238,0.20048455826081246,49,0,1.4071294450759888,70.35647225379944,70.72904467582703,reports\evaluation\final_top10_demo\runs\bert.jsonl,reports\evaluation\final_top10_demo\per_query\bert_per_query.csv
serial_bm25_bert,10,10,10,10,10,0.06163712696910688,0.4061224489795918,0.08171525212125003,0.34674837770110084,49,0,0.8424046325683594,42.12023162841797,42.22858381271362,reports\evaluation\final_top10_demo\runs\serial_bm25_bert.jsonl,reports\evaluation\final_top10_demo\per_query\serial_bm25_bert_per_query.csv
parallel_full,10,10,10,10,10,0.06502597884176137,0.40408163265306124,0.0818568440085304,0.3445053434482797,49,0,1.3034468746185304,65.17234373092651,65.32933568954468,reports\evaluation\final_top10_demo\runs\parallel_full.jsonl,reports\evaluation\final_top10_demo\per_query\parallel_full_per_query.csv
