model,run_depth,precision_k,recall_k,ndcg_k,map_depth,map,precision_at_10,recall_at_1000,ndcg_at_10,num_queries,failed_queries,avg_query_time_seconds,total_query_time_seconds,wall_time_seconds,run_file,per_query_file
bm25,1000,10,1000,10,1000,0.1821608107509235,0.40408163265306124,0.5001185998305594,0.3574774601129659,49,0,0.49317566871643065,24.658783435821533,25.50875425338745,reports\evaluation\no_bert_depth1000\runs\bm25.jsonl,reports\evaluation\no_bert_depth1000\per_query\bm25_per_query.csv
tfidf,1000,10,1000,10,1000,0.18087400579539512,0.4,0.49494157494898283,0.3548311795894742,49,0,0.2645793104171753,13.228965520858765,14.154864311218262,reports\evaluation\no_bert_depth1000\runs\tfidf.jsonl,reports\evaluation\no_bert_depth1000\per_query\tfidf_per_query.csv
word2vec,1000,10,1000,10,1000,0.005274792212336153,0.04081632653061224,0.08676417050130213,0.032651824827294444,49,0,0.2642626190185547,13.213130950927734,13.952919006347656,reports\evaluation\no_bert_depth1000\runs\word2vec.jsonl,reports\evaluation\no_bert_depth1000\per_query\word2vec_per_query.csv
parallel_basic,1000,10,1000,10,1000,0.1585044212198101,0.3836734693877551,0.47774162003511106,0.32215563337961445,49,0,0.673657956123352,33.6828978061676,34.744288206100464,reports\evaluation\no_bert_depth1000\runs\parallel_basic.jsonl,reports\evaluation\no_bert_depth1000\per_query\parallel_basic_per_query.csv
serial_bm25_word2vec,1000,10,1000,10,1000,0.05893920082407983,0.12857142857142856,0.5001185998305594,0.09711951333235158,49,0,0.7609761095046997,38.048805475234985,38.89051413536072,reports\evaluation\no_bert_depth1000\runs\serial_bm25_word2vec.jsonl,reports\evaluation\no_bert_depth1000\per_query\serial_bm25_word2vec_per_query.csv
