model,run_depth,precision_k,recall_k,ndcg_k,map_depth,map,precision_at_10,recall_at_1000,ndcg_at_10,num_queries,failed_queries,avg_query_time_seconds,total_query_time_seconds,wall_time_seconds,run_file,per_query_file
bert,1000,10,1000,10,1000,0.09684374811431563,0.236734693877551,0.4339146829243347,0.20048455826081246,49,0,2.1601343822479246,108.00671911239624,109.20406675338745,reports\evaluation\with_bert_depth1000\runs\bert.jsonl,reports\evaluation\with_bert_depth1000\per_query\bert_per_query.csv
parallel_full,1000,10,1000,10,1000,0.17376924137310618,0.3877551020408163,0.5263906644669111,0.34244875816347814,49,0,2.5766378021240235,128.83189010620117,129.92572498321533,reports\evaluation\with_bert_depth1000\runs\parallel_full.jsonl,reports\evaluation\with_bert_depth1000\per_query\parallel_full_per_query.csv
serial_bm25_bert,1000,10,1000,10,1000,0.1322283416584016,0.29591836734693877,0.5001185998305594,0.24000962629423067,49,0,47.3818585395813,2369.092926979065,2370.0261232852936,reports\evaluation\with_bert_depth1000\runs\serial_bm25_bert.jsonl,reports\evaluation\with_bert_depth1000\per_query\serial_bm25_bert_per_query.csv
